class,video,PSD_Delta,PSD_Theta,PSD_Alpha,PSD_Beta,PSD_Gamma
1,1,1.476469829331377e-06,8.5394000365343e-08,1.798984975081582e-08,6.329676506502884e-09,8.667152295939728e-10
1,2,1.4187216071385242e-05,2.5070934351714426e-07,1.2729508216199127e-07,2.1668646576530732e-08,3.60612248208302e-09
1,3,5.169406844420911e-07,4.459936114603674e-08,1.2761675251853856e-08,3.83620981870399e-09,2.352693772816499e-10
1,4,1.45064505093691e-06,7.906440007834333e-08,1.9054678911130294e-08,4.67948138058753e-09,5.204795854891629e-10
1,5,6.38605443801131e-05,5.209253068040319e-07,9.236381829762516e-08,3.22137826399271e-08,4.669966608181133e-09
2,1,2.331662269930908e-05,4.91448459293499e-07,1.2316572949421607e-07,2.199061868350131e-08,3.488095180031821e-09
2,2,4.241432062234175e-07,2.3790395102655477e-08,1.7659311126087312e-08,3.6437719587080818e-09,4.1874907549543754e-10
2,3,1.985953118836502e-07,1.068924984278418e-08,5.442300281691415e-08,1.7102089734676317e-09,3.1573073739749674e-10
2,4,4.4125995635240555e-05,6.011251753065313e-07,1.502952335743919e-07,3.422656355216662e-08,5.840731260085933e-09
2,5,2.182084581328733e-05,3.3717782799471675e-07,1.0387149637510476e-07,2.0341770827213065e-08,3.6803698807660264e-09
3,1,2.452469207458747e-07,1.8746242516495527e-08,2.2057707564272853e-08,3.0760136415080906e-09,1.3568876632932906e-10
3,2,3.7229396862800653e-08,2.188393221186285e-08,1.6499934438804268e-08,2.5436561084756316e-09,2.0173284938225773e-10
3,3,1.3612558539385276e-06,3.518261622425473e-08,6.738998439362842e-09,3.424915094854718e-09,7.359099461685327e-10
3,4,6.644779274927873e-07,2.457272952249729e-08,2.6332426061576577e-09,2.006629054169463e-09,1.7773290298279177e-10
3,5,2.139116980610698e-06,2.8184942679378345e-08,7.64412308193282e-09,3.5136211037913398e-09,4.806266275712527e-10
4,1,3.637505127144645e-07,4.979711767815985e-08,1.4728445083684338e-08,2.2086627233157318e-09,2.0662288533870465e-10
4,2,1.2598994809881762e-06,5.801578562101012e-08,1.59862127703719e-08,2.636904691258582e-09,4.5799513532914996e-10
4,3,1.3674748123625948e-06,4.405911711363354e-08,3.5098119009895035e-08,3.609639724747181e-09,8.52041952629451e-10
4,4,1.5894377943023554e-05,3.3558702628088583e-07,1.243023722616761e-07,2.77918441568823e-08,3.4540589084541908e-09
4,5,1.362654013853932e-06,4.4026611051721135e-08,1.2511445663689187e-08,3.933034161246413e-09,4.142055745339507e-10
5,1,1.4382760961986648e-06,4.0345624437852515e-08,1.1991612167258551e-08,1.8256943442722984e-09,1.4769671671217649e-10
5,2,3.300341530238996e-06,2.6647117856558155e-08,1.290053099361878e-08,2.6521357046965584e-09,3.943027360544566e-10
5,3,2.1077104253530388e-07,1.2320270609956443e-08,1.4571973087024896e-08,4.0743338514882554e-09,2.670438420655351e-10
5,4,7.435235981793381e-05,1.2820064087249426e-06,3.3173080029748746e-07,7.584046695265105e-08,1.10818753245274e-08
5,5,3.43022406986002e-05,9.265899453677504e-07,3.202520924681127e-07,5.28664410717186e-08,7.742395126621965e-09
6,1,7.3143758792035175e-06,1.6910561227992515e-07,3.388132035554697e-08,9.925003444921476e-09,1.6515508014199664e-09
6,2,2.0417698879530363e-05,4.999089122924363e-07,1.3938147216274937e-07,1.489446842067393e-08,2.952602194300598e-09
6,3,3.938615219452317e-07,8.914624770716647e-08,4.624125611080891e-08,4.60204570964419e-09,3.9064512132224476e-10
6,4,2.2996058596268977e-07,4.09936276510027e-08,2.1583475433361655e-08,3.5744582784174764e-09,2.826408734285704e-10
6,5,7.630719545594508e-06,1.71272677126463e-07,2.843709290674771e-08,8.08733394332272e-09,1.1033762305584515e-09
7,1,1.7843598784846284e-06,2.0815290518012787e-08,3.906609281141071e-08,3.037636908943607e-09,3.4756137187816687e-10
7,2,2.1349896793279155e-06,1.9235575575948147e-07,5.161862170679832e-08,9.474871492824136e-09,1.3149259134338173e-09
7,3,2.738339390634797e-07,2.944066207157287e-08,2.5582795145224082e-08,5.790475080837369e-09,8.465541247624424e-10
7,4,1.6408188210174938e-06,3.555562796096141e-08,1.1869234082291698e-08,4.794574902245512e-09,3.477976908778901e-10
7,5,1.2943720823389e-06,6.840525434062934e-08,4.2067903520116997e-08,2.230939026184598e-09,3.911114763267213e-10
8,1,9.157412713696658e-07,9.142333050161585e-08,3.964909043848141e-08,5.975842812773886e-09,6.441133672188981e-10
8,2,1.5200432553122032e-07,3.796057624633313e-08,1.8678723334349804e-08,2.9875047557168327e-09,3.376675773872518e-10
